"","X","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min Price","Max Price","Country"
"1",3328,"Lim Lao Ngow (China Town)","Bangkok","Street Food",100.510266,13.7374199,"Bib Gourmand","Good food at moderate prices",0,0,"Thailand"
"2",3318,"Nai Ngieb (Phutthamonthon Sai 4)","Nakhon Pathom","Street Food",100.3280304,13.7844522,"Bib Gourmand","Good food at moderate prices",5,5,"Thailand"
"3",3329,"Elvis Suki (Soi Yotse)","Bangkok","Street Food",100.5144761,13.7489129,"Bib Gourmand","Good food at moderate prices",5,5,"Thailand"
"4",3339,"The Charm Dining Gallery","Phuket","Southern Thai",98.3860608,7.886465,"Bib Gourmand","Good food at moderate prices",5,25,"Thailand"
"5",4049,"Colapasta","Santa Monica","Italian",-118.4962761,34.0190328,"Bib Gourmand","Good food at moderate prices",5,45,"United States"
"6",5236,"Maria e o Boi","Rio de Janeiro","Meats and Grills, International",-43.2070274,-22.9825882,"Bib Gourmand","Good food at moderate prices",5,30,"Brazil"
"7",3330,"Ongtong Khaosoi (Ari)","Bangkok","Northern Thai",100.54453,13.781163,"Bib Gourmand","Good food at moderate prices",10,10,"Thailand"
"8",5230,"Le Bife","São Paulo","Meats and Grills",-46.6807291,-23.5823193,"Bib Gourmand","Good food at moderate prices",10,35,"Brazil"
"9",5240,"Pici Trattoria","Rio de Janeiro","Italian",-43.2052303,-22.9831234,"Bib Gourmand","Good food at moderate prices",10,35,"Brazil"
"10",3687,"Myeongdong Kyoja","SEOUL","Kalguksu",126.9845052,37.56347,"Bib Gourmand","Good food at moderate prices",10,10,"South Korea"
"11",1030,"Kam's Roast Goose","Hong Kong","Cantonese Roast Meats",114.1755582,22.2777963,"1 MICHELIN Star","Very good cooking in its category",10,25,"Hong Kong"
"12",1286,"Sosakumenkobo NAKIRYU","Tokyo","Ramen",139.7303256,35.7287032,"1 MICHELIN Star","Very good cooking in its category",10,15,"Japan"
"13",1331,"SOBAHOUSE KONJIKI HOTOTOGISU","Tokyo","Ramen",139.7082397,35.6888255,"1 MICHELIN Star","Very good cooking in its category",10,15,"Japan"
"14",3590,"Chukakosai JASMINE","Tokyo","Chinese",139.717929,35.6486649,"Bib Gourmand","Good food at moderate prices",10,75,"Japan"
"15",3592,"Andagyoza","Tokyo","Dumplings",139.6819359,35.6705996,"Bib Gourmand","Good food at moderate prices",10,20,"Japan"
"16",3596,"Tohakuan Karibe","Tokyo","Soba",139.602984,35.663492,"Bib Gourmand","Good food at moderate prices",10,35,"Japan"
"17",3597,"Hutong Sanki","Tokyo","Chinese",139.609178,35.643834,"Bib Gourmand","Good food at moderate prices",10,50,"Japan"
"18",3600,"Maruyama Gyoza Seisakujo","Tokyo","Dumplings",139.6503151,35.7045782,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"19",3601,"Kyorakutei","Tokyo","Soba",139.739514,35.700778,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"20",3619,"Grace","Tokyo","Korean",139.7347392,35.6566635,"Bib Gourmand","Good food at moderate prices",10,70,"Japan"
"21",3626,"Dhaba India","Tokyo","Indian",139.7686055,35.67714,"Bib Gourmand","Good food at moderate prices",10,35,"Japan"
"22",3628,"Kirimugiya Jinroku","Tokyo","Udon",139.711835,35.689133,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
"23",3631,"Tsukiji Bunkajin","Tokyo","Soba",139.770022,35.6684278,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"24",3635,"Teuchisoba Kikutani Sugamo Honten","Tokyo","Soba",139.7314636,35.7379897,"Bib Gourmand","Good food at moderate prices",10,50,"Japan"
"25",3636,"Osobano Kouga","Tokyo","Soba",139.722767,35.660055,"Bib Gourmand","Good food at moderate prices",10,60,"Japan"
"26",3639,"Jimbocho Kurosu","Tokyo","Ramen",139.754897,35.695467,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"27",3651,"Kyoeido","Tokyo","Curry",139.7593534,35.6961558,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
"28",3652,"Onigiri Asakusa Yadoroku","Tokyo","Onigiri",139.7947245,35.7169405,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"29",3655,"Hamacho Kaneko","Tokyo","Soba",139.7882614,35.6840875,"Bib Gourmand","Good food at moderate prices",10,35,"Japan"
"30",3658,"Ramen Nijubunnoichi","Tokyo","Ramen",139.7729592,35.744592,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"31",3663,"Shikinoshoku Saito","Tokyo","Japanese",139.773322,35.67433,"Bib Gourmand","Good food at moderate prices",10,70,"Japan"
"32",3669,"Gyozanomise Okei","Tokyo","Dumplings",139.7444894,35.6988827,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
